a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.884,0.894,0.898,0.954,0.892,0.914,0.451608714,0.442063161,0.544687111,0.72366315,0.608141888,0.656892559,0.906666667,0.953333333,0.986666667,0.969333333,0.949333333,0.968,0.095646117,0.314829732,0.545582484,0.725250869,0.611624256,0.660622746,10,N1,D1,N1,perm,1000,500
0.884,0.874,0.898,0.952,0.894,0.912,0.4516087,0.42858,0.5446871,0.7253299,0.619931868,0.669664293,0.9066667,0.94,0.9866667,0.9693333,0.950666667,0.966666667,0.09564612,0.3052131,0.5455825,0.72479,0.608587399,0.657374058,10,N1,D1,N1,sign,1000,500
0.596,0.818,0.884,0.938,0.892,0.914,0.8063806,1.019065,1.162283,1.39313,1.208109092,1.284995066,0.9106667,0.9746667,0.9933333,0.976,0.965333333,0.974666667,0.2243489,0.9650323,1.164636,1.396052,1.207376732,1.284466982,10,N1,D1,N2,perm,1000,500
0.582,0.802,0.884,0.938,0.89,0.908,0.784040045,1.023852065,1.162283498,1.392414045,1.209319851,1.286304508,0.908,0.965333333,0.993333333,0.976,0.964,0.974666667,0.224269205,0.962331587,1.164635668,1.395167736,1.199717105,1.276418587,10,N1,D1,N2,sign,1000,500
0.922,0.954,0.86,0.236,0.88,0.9,0.182923502,0.209989383,0.367331447,0.098024313,0.281171916,0.304266665,0.928,0.950666667,0.996,0.828,0.961333333,0.978666667,0.039302175,0.143196837,0.368192559,0.098060928,0.281372375,0.304477868,10,N2,D1,G1,perm,1000,500
0.794,0.782,0.84,0.296,0.872,0.908,0.578536061,0.585024184,0.824511775,0.231507742,0.846222401,0.916802867,0.878666667,0.962666667,0.988,0.864,0.950666667,0.965333333,0.125137123,0.465807934,0.826631879,0.23242149,0.84563108,0.916172294,10,N2,D1,HG,perm,1000,500
0.772,0.764,0.84,0.296,0.862,0.892,0.578001922,0.559997737,0.824511775,0.23204502,0.844829794,0.915224678,0.878666667,0.954666667,0.988,0.864,0.952,0.962666667,0.127073153,0.454719967,0.826631879,0.233036857,0.846977801,0.917607082,10,N2,D1,HG,sign,1000,500
0.766,0.774,0.854,0.258,0.868,0.886,0.699900461,0.711507683,0.959520546,0.2669579,0.975339239,1.048342071,0.873333333,0.977333333,0.989333333,0.846666667,0.958666667,0.969333333,0.15861245,0.62387257,0.961955552,0.26755806,0.974915222,1.047864612,10,N2,D1,HMG,perm,1000,500
0.74,0.768,0.854,0.258,0.862,0.886,0.676747783,0.688962818,0.959520546,0.266642511,0.974905709,1.047835328,0.878666667,0.974666667,0.989333333,0.846666667,0.957333333,0.973333333,0.152865712,0.616037063,0.961955552,0.2678947,0.978034687,1.051212336,10,N2,D1,HMG,sign,1000,500
0.906,0.87,0.798,0.31,0.862,0.902,0.185381113,0.204470525,0.29332867,0.075795925,0.286998556,0.312235287,0.928,0.96,0.986666667,0.858666667,0.949333333,0.969333333,0.040754016,0.13675628,0.294017026,0.076140505,0.286575304,0.311771791,10,N2,D1,N1,perm,1000,500
0.916,0.86,0.798,0.31,0.85,0.878,0.187333521,0.197494194,0.29332867,0.075996328,0.286594346,0.311772844,0.926666667,0.949333333,0.986666667,0.86,0.953333333,0.969333333,0.040770828,0.133042531,0.294017026,0.076318105,0.287032224,0.312266336,10,N2,D1,N1,sign,1000,500
0.876,0.866,0.83,0.262,0.85,0.9,0.436707208,0.446135932,0.60577757,0.159527951,0.627846739,0.681651793,0.926666667,0.961333333,0.994666667,0.853333333,0.964,0.98,0.092217685,0.312048923,0.607303029,0.160059557,0.627341586,0.681063178,10,N2,D1,N2,perm,1000,500
0.882,0.856,0.83,0.268,0.862,0.9,0.431129988,0.42689775,0.60577757,0.159673449,0.62770924,0.681443189,0.924,0.957333333,0.994666667,0.852,0.965333333,0.976,0.09319529,0.303585427,0.607303029,0.160121893,0.629525731,0.683481746,10,N2,D1,N2,sign,1000,500
0.866,0.902,0.84,0.928,0.93,0.938,0.6673254,0.7110958,1.001408,1.454879,1.065160541,1.174240426,0.9106667,0.9546667,0.9973333,0.948,0.968,0.98,0.1190574,0.491119,1.004558,1.44145,1.050783247,1.158503031,10,TG,D1,G1,perm,1000,500
0.75,0.808,0.75,0.95,0.916,0.954,0.86001433,0.934158202,1.046951606,1.468327246,1.42211075,1.564408657,0.872,0.948,0.996,0.98,0.964,0.977333333,0.18058753,0.750785122,1.051244357,1.459388955,1.40558639,1.546393729,10,TG,D1,HG,perm,1000,500
0.748,0.794,0.75,0.95,0.918,0.942,0.869274279,0.884956107,1.046951606,1.469430196,1.42612328,1.568373367,0.88,0.938666667,0.996,0.977333333,0.968,0.985333333,0.183293912,0.702788806,1.051244357,1.460952505,1.399181389,1.539429825,10,TG,D1,HG,sign,1000,500
0.426,0.776,0.824,0.942,0.924,0.946,0.962326937,1.581013334,1.592473169,2.16690532,2.139117235,2.291885778,0.910666667,0.961333333,0.993333333,0.969333333,0.965333333,0.974666667,0.328989886,1.521854505,1.597651517,2.148025866,2.119492318,2.270994946,10,TG,D1,HMG,perm,1000,500
0.408,0.788,0.824,0.94,0.928,0.952,0.945468872,1.572561918,1.592473169,2.160189879,2.140811455,2.293861851,0.905333333,0.952,0.993333333,0.966666667,0.961333333,0.972,0.320794563,1.514900023,1.597651517,2.147505737,2.112774842,2.263810714,10,TG,D1,HMG,sign,1000,500
0.86,0.89,0.728,0.936,0.92,0.946,0.683252411,0.716776603,0.77866691,1.128772879,1.080574501,1.193951282,0.885333333,0.945333333,0.996,0.978666667,0.965333333,0.976,0.120571349,0.487964195,0.781997689,1.121289949,1.067273559,1.179318618,10,TG,D1,N1,perm,1000,500
0.85,0.878,0.728,0.938,0.912,0.94,0.675843479,0.686246553,0.77866691,1.12971572,1.088210451,1.202085331,0.888,0.950666667,0.996,0.98,0.966666667,0.984,0.12200556,0.463679611,0.781997689,1.122615064,1.064843017,1.176686883,10,TG,D1,N1,sign,1000,500
0.462,0.732,0.808,0.944,0.928,0.938,0.952678808,1.412017015,1.505900705,2.026246784,2.000632687,2.149427662,0.902666667,0.962666667,0.996,0.972,0.966666667,0.981333333,0.294673791,1.334551794,1.510461551,2.008779827,1.979913204,2.127226031,10,TG,D1,N2,perm,1000,500
0.446,0.738,0.808,0.942,0.934,0.948,0.935402924,1.403880554,1.505900705,2.020200862,2.002758883,2.151875274,0.897333333,0.956,0.996,0.972,0.965333333,0.974666667,0.303130998,1.333111325,1.510461551,2.008359639,1.97434814,2.121183589,10,TG,D1,N2,sign,1000,500
0.87,0.89,0.882,0.928,0.93,0.956,0.64811694,0.682309448,1.032013444,1.415351463,1.024043736,1.126270342,0.917333333,0.957333333,0.997333333,0.964,0.98,0.992,0.121879597,0.480830281,1.021029822,1.396999568,1.008779337,1.109583882,10,TGM,D1,G1,perm,1000,500
0.746,0.802,0.774,0.95,0.94,0.956,0.824660036,0.887472859,1.067816565,1.437672009,1.37830735,1.514863287,0.850666667,0.96,0.996,0.968,0.964,0.972,0.176502939,0.716694203,1.058193303,1.422233828,1.360276457,1.494885525,10,TGM,D1,HG,perm,1000,500
